Rating,CocoaPercentage,Company,Origine spécifique du harirot
3.75,63%,A. Morin,Agua Grande
2.75,70%,A. Morin,Kpime
3,70%,A. Morin,Atsane
3.5,70%,A. Morin,Akata
3.5,70%,A. Morin,Quilla
2.75,70%,A. Morin,Carenero
3.5,70%,A. Morin,Cuba
3.5,70%,A. Morin,Sur del Lago
3.75,70%,A. Morin,Puerto Cabello
4,70%,A. Morin,Pablino
2.75,70%,A. Morin,Panama
3,70%,A. Morin,Madagascar
3.25,70%,A. Morin,Brazil
3.75,70%,A. Morin,Equateur
2.75,70%,A. Morin,Colombie
3,70%,A. Morin,Birmanie
3.25,70%,A. Morin,Papua New Guinea
4,70%,A. Morin,Chuao
3.25,70%,A. Morin,Piura
3.5,70%,A. Morin,Chanchamayo Province
4,63%,A. Morin,Chanchamayo Province
3.5,70%,A. Morin,Bolivia
3.75,63%,A. Morin,Peru
3.75,70%,Acalli,"Chulucanas, El Platanal"
3.75,70%,Acalli,"Tumbes, Norandino"
2.75,60%,Adi,Vanua Levu
3.25,80%,Adi,"Vanua Levu, Toto-A"
3.5,88%,Adi,Vanua Levu
3.5,72%,Adi,"Vanua Levu, Ami-Ami-CA"
2.75,55%,Aequare (Gianduja),"Los Rios, Quevedo, Arriba"
3,70%,Aequare (Gianduja),"Los Rios, Quevedo, Arriba"
3,70%,Ah Cacao,Tabasco
3.75,75%,Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area"
2.75,75%,Akesson's (Pralus),"Madagascar, Ambolikapiky P."
2.75,75%,Akesson's (Pralus),"Monte Alegre, D. Badero"
2.75,65%,Alain Ducasse,Trinite
2.75,75%,Alain Ducasse,Vietnam
3,75%,Alain Ducasse,Madagascar
2.5,75%,Alain Ducasse,Chuao
2.5,75%,Alain Ducasse,"Piura, Perou"
3.5,70%,Alexandre,"Winak Coop, Napo"
3.5,70%,Alexandre,"La Dalia, Matagalpa"
3.5,70%,Alexandre,Tien Giang
3.5,70%,Alexandre,"Makwale Village, Kyela"
2.75,60%,Altus aka Cao Artisan,Momotombo
3,60%,Altus aka Cao Artisan,Acopagro
2.5,60%,Altus aka Cao Artisan,CIAAB Coop
2.5,60%,Altus aka Cao Artisan,Villa Andina
2.75,60%,Altus aka Cao Artisan,Gruppo Salinas
2.5,60%,Altus aka Cao Artisan,Sur del Lago
3,60%,Altus aka Cao Artisan,Conacado
3.25,80%,Altus aka Cao Artisan,Bolivia
3,60%,Altus aka Cao Artisan,Bolivia
3.25,60%,Altus aka Cao Artisan,Peru
4,70%,Amano,Morobe
3.75,70%,Amano,Dos Rios
4,70%,Amano,Guayas
3,70%,Amano,Chuao
3,70%,Amano,Montanya
2.75,70%,Amano,"Bali, Jembrana"
3.5,70%,Amano,Madagascar
